reservation_id,client_id,destination,booking_date,travel_date,duration_nights,n_travelers,price_per_night,total_price,nationality,client_age
RES013259,CLI04226,Marrakech,2021-08-12,2022-01-04,1,2,233.25,268.24,Maroc,40
RES009898,CLI02289,Marrakech,2021-08-17,2022-02-03,6,3,264.93,2066.45,Maroc,23
RES000700,CLI06238,Casablanca,2021-08-27,2022-02-09,4,4,183.8,1066.04,France,41
RES005365,CLI00439,Tanger,2021-09-01,2022-02-06,5,2,133.89,769.87,Maroc,42
RES002561,CLI03110,Agadir,2021-09-07,2022-01-18,1,3,193.77,251.9,Maroc,37
RES004712,CLI00847,Chefchaouen,2021-09-09,2022-03-04,4,2,158.26,728.0,Maroc,41
RES007772,CLI07123,Agadir,2021-09-11,2022-01-05,3,2,220.49,760.69,Maroc,31
RES023409,CLI06306,Marrakech,2021-09-13,2022-01-08,1,1,147.53,147.53,Espagne,48
RES020201,CLI01362,Marrakech,2021-09-19,2022-01-20,5,1,219.33,1096.65,Maroc,22
RES014535,CLI06672,Chefchaouen,2021-09-20,2022-03-14,8,1,133.91,1071.28,Espagne,47
RES009172,CLI08240,Fes,2021-09-22,2022-01-17,2,4,195.7,567.53,Maroc,27
RES011441,CLI00774,Essaouira,2021-09-25,2022-01-14,6,3,203.24,1585.27,Maroc,26
RES003144,CLI04935,Chefchaouen,2021-09-25,2022-01-28,3,2,141.54,488.31,Royaume-Uni,41
RES001164,CLI00854,Fes,2021-09-28,2022-01-13,5,2,180.0,1035.0,Belgique,18
RES024443,CLI03817,Marrakech,2021-10-02,2022-01-12,3,6,249.34,1309.03,Maroc,35
RES020884,CLI07233,Agadir,2021-10-04,2022-02-03,6,2,167.83,1158.03,Maroc,55
RES022359,CLI04827,Merzouga,2021-10-04,2022-02-01,4,4,300.13,1740.75,France,28
RES009926,CLI05081,Marrakech,2021-10-05,2022-01-17,2,2,288.69,663.99,Allemagne,28
RES004530,CLI03776,Chefchaouen,2021-10-06,2022-04-04,2,4,395.79,1147.79,France,57
RES009322,CLI00752,Merzouga,2021-10-07,2022-03-10,7,2,798.19,6425.43,Allemagne,26
RES008081,CLI08298,Marrakech,2021-10-08,2022-04-02,4,2,748.61,3443.61,Royaume-Uni,19
RES011932,CLI04549,Essaouira,2021-10-08,2022-01-15,10,2,185.09,2128.53,Maroc,30
RES002297,CLI02748,Marrakech,2021-10-10,2022-01-14,6,4,212.8,1851.36,Autre,40
RES007811,CLI03875,Marrakech,2021-10-11,2022-01-27,6,2,278.61,1922.41,Royaume-Uni,50
RES010032,CLI05771,Chefchaouen,2021-10-11,2022-03-08,4,2,148.62,683.65,Allemagne,31
RES012728,CLI00569,Marrakech,2021-10-13,2022-01-26,3,2,235.48,812.41,France,44
RES016339,CLI06384,Marrakech,2021-10-13,2022-04-06,3,5,734.3,3524.64,Allemagne,18
RES019152,CLI01784,Chefchaouen,2021-10-14,2022-01-09,5,5,160.6,1284.8,Maroc,33
RES007718,CLI02950,Tanger,2021-10-14,2022-01-30,4,2,148.09,681.21,Royaume-Uni,33
RES003744,CLI04380,Marrakech,2021-10-15,2022-03-04,2,3,730.83,1900.16,France,46
RES021484,CLI02857,Casablanca,2021-10-15,2022-01-06,6,4,209.87,1825.87,Maroc,18
RES000821,CLI00702,Merzouga,2021-10-17,2022-02-03,1,1,262.79,262.79,Allemagne,25
RES018088,CLI06127,Tanger,2021-10-18,2022-02-04,2,2,165.58,380.83,Allemagne,28
RES020986,CLI08029,Chefchaouen,2021-10-18,2022-02-02,4,2,152.61,702.01,Allemagne,26
RES009029,CLI03034,Essaouira,2021-10-18,2022-03-25,7,1,178.79,1251.53,Espagne,18
RES017933,CLI04469,Chefchaouen,2021-10-19,2022-01-23,6,5,121.79,1169.18,Maroc,39
RES017960,CLI07641,Fes,2021-10-21,2022-01-07,4,1,162.7,650.8,Royaume-Uni,45
RES007087,CLI06598,Fes,2021-10-22,2022-01-16,7,3,134.33,1222.4,Maroc,33
RES017162,CLI03101,Fes,2021-10-25,2022-04-23,4,4,613.34,3557.37,France,26
RES022513,CLI00915,Marrakech,2021-10-27,2022-02-04,4,5,286.46,1833.34,France,55
RES002926,CLI06003,Tanger,2021-10-27,2022-01-15,2,2,168.9,388.47,Maroc,26
RES022819,CLI05177,Chefchaouen,2021-10-28,2022-01-01,3,3,141.56,552.08,Maroc,18
RES006664,CLI02759,Essaouira,2021-10-28,2022-03-09,5,2,151.22,869.51,France,55
RES002976,CLI00998,Merzouga,2021-10-28,2022-03-08,6,4,668.68,5817.52,France,18
RES005200,CLI07900,Marrakech,2021-10-29,2022-01-27,6,1,239.1,1434.6,France,39
RES014444,CLI06060,Chefchaouen,2021-10-30,2022-01-06,4,2,157.11,722.71,France,50
RES003102,CLI00912,Marrakech,2021-10-30,2022-01-24,4,6,244.54,1711.78,Espagne,43
RES000451,CLI07759,Marrakech,2021-11-02,2022-02-22,4,3,193.19,1004.59,Autre,35
RES017055,CLI02699,Agadir,2021-11-02,2022-01-07,3,4,239.4,1041.39,France,18
RES014909,CLI02617,Marrakech,2021-11-03,2022-01-04,3,3,226.27,882.45,France,41
RES000994,CLI02986,Marrakech,2021-11-04,2022-02-03,4,3,219.93,1143.64,Maroc,34
RES012805,CLI02809,Chefchaouen,2021-11-04,2022-01-23,1,2,119.42,137.33,Belgique,37
RES023740,CLI03870,Tanger,2021-11-04,2022-01-30,2,2,158.53,364.62,Royaume-Uni,50
RES018572,CLI06623,Chefchaouen,2021-11-07,2022-02-13,3,6,114.99,603.7,Maroc,27
RES017929,CLI06342,Fes,2021-11-07,2022-02-03,3,6,201.27,1056.67,Allemagne,57
RES020064,CLI02002,Agadir,2021-11-08,2022-01-15,7,2,253.22,2038.42,Royaume-Uni,64
RES015454,CLI07426,Fes,2021-11-09,2022-01-15,4,2,171.83,790.42,Etats-Unis,53
RES020443,CLI06606,Marrakech,2021-11-09,2022-01-16,3,4,162.3,706.0,Maroc,48
RES009301,CLI06765,Fes,2021-11-10,2022-01-20,3,5,144.59,694.03,Etats-Unis,36
RES015000,CLI00827,Tanger,2021-11-10,2022-01-05,8,4,194.83,2260.03,France,40
RES009657,CLI02771,Tanger,2021-11-10,2022-01-23,5,2,188.01,1081.06,France,38
RES022956,CLI05664,Marrakech,2021-11-11,2022-01-07,4,2,180.75,831.45,Etats-Unis,19
