provinces,2012,2013,2014,2015,2016,2017,2018,2019,2020
Agadir-Taghazout,4558091,5072974,5137811,4711215,4902520,5452994,5898754,6048411,1861507
Marrakech,5821191,6425896,6546300,5991167,6121224,7111152,7873933,8342980,1791932
Casablanca,1565755,1745824,1734166,1663124,1806466,1985841,2052138,2155528,621974
Tanger-Assilah,886587,943934,953991,937607,996075,1241293,1352583,1451707,414361
Rabat,602709,621367,639535,627437,629910,714900,778865,785490,336567
Fès,643776,769635,832367,724665,682008,945102,1096721,1117579,253856
Essaouira-Mogador,399449,473376,487617,419958,413686,461657,511161,556904,176625
Oujda-Saidia,463404,456099,344105,405401,440102,503141,572931,628424,163829
Al Haouz,94463,86937,181199,269228,518800,625744,657852,702204,112996
El Jadida-Mazagan,309703,360752,374701,378213,349166,350324,352185,350994,97603
Ouarzazate,300869,311646,381217,275268,261633,360967,388233,380000,71629
Meknès,200878,216746,219062,209534,199457,227197,243856,252715,82908
