date,temp_max,temp_min,precipitation,destination
2022-01-01,26.9,8.0,0.0,Marrakech
2022-01-02,25.1,6.5,0.0,Marrakech
2022-01-03,24.2,6.5,0.0,Marrakech
2022-01-04,21.8,6.1,0.0,Marrakech
2022-01-05,19.3,7.7,0.6,Marrakech
2022-01-06,19.5,4.9,0.0,Marrakech
2022-01-07,18.9,7.3,0.0,Marrakech
2022-01-08,22.4,4.6,0.0,Marrakech
2022-01-09,23.1,4.7,0.0,Marrakech
2022-01-10,20.8,4.7,0.0,Marrakech
2022-01-11,17.0,7.1,0.0,Marrakech
2022-01-12,21.8,3.9,0.0,Marrakech
2022-01-13,22.6,3.5,0.0,Marrakech
2022-01-14,22.4,6.6,0.0,Marrakech
2022-01-15,21.9,5.8,0.0,Marrakech
2022-01-16,22.3,4.6,0.0,Marrakech
2022-01-17,20.8,5.1,0.0,Marrakech
2022-01-18,20.3,6.0,0.0,Marrakech
2022-01-19,21.9,4.2,0.0,Marrakech
2022-01-20,21.4,4.6,0.0,Marrakech
2022-01-21,23.7,5.7,0.0,Marrakech
2022-01-22,27.7,10.2,0.2,Marrakech
2022-01-23,23.4,10.3,0.0,Marrakech
2022-01-24,20.5,8.1,0.1,Marrakech
2022-01-25,18.2,8.9,14.8,Marrakech
2022-01-26,16.6,7.1,4.7,Marrakech
2022-01-27,20.2,5.0,0.0,Marrakech
2022-01-28,20.1,8.9,0.9,Marrakech
2022-01-29,23.1,9.7,0.0,Marrakech
2022-01-30,26.0,8.1,0.0,Marrakech
2022-01-31,25.5,10.6,0.8,Marrakech
2022-02-01,25.6,9.1,0.0,Marrakech
2022-02-02,26.3,5.3,0.0,Marrakech
2022-02-03,26.4,8.7,0.0,Marrakech
2022-02-04,25.6,10.1,0.1,Marrakech
2022-02-05,25.3,10.6,0.0,Marrakech
2022-02-06,23.1,10.9,0.9,Marrakech
2022-02-07,26.1,9.3,0.0,Marrakech
2022-02-08,26.7,7.7,0.0,Marrakech
2022-02-09,26.5,8.0,0.0,Marrakech
2022-02-10,25.9,12.3,0.0,Marrakech
2022-02-11,18.7,7.6,1.1,Marrakech
2022-02-12,21.1,4.8,0.0,Marrakech
2022-02-13,22.0,5.0,0.0,Marrakech
2022-02-14,21.2,5.9,0.0,Marrakech
2022-02-15,20.7,7.4,0.0,Marrakech
2022-02-16,24.4,5.0,0.0,Marrakech
2022-02-17,25.3,5.4,0.0,Marrakech
2022-02-18,21.8,6.1,0.0,Marrakech
2022-02-19,20.1,10.7,0.1,Marrakech
2022-02-20,22.4,10.4,0.0,Marrakech
2022-02-21,25.7,8.9,0.0,Marrakech
2022-02-22,29.1,8.2,0.0,Marrakech
2022-02-23,28.5,13.3,3.3,Marrakech
2022-02-24,26.6,12.0,1.3,Marrakech
2022-02-25,24.8,11.3,0.6,Marrakech
2022-02-26,21.4,10.6,9.3,Marrakech
2022-02-27,17.9,11.2,6.9,Marrakech
2022-02-28,22.1,10.3,0.0,Marrakech
2022-03-01,24.6,9.7,0.0,Marrakech
2022-03-02,22.2,7.8,0.0,Marrakech
2022-03-03,21.3,6.8,0.0,Marrakech
2022-03-04,18.1,10.0,1.1,Marrakech
2022-03-05,18.2,6.0,0.0,Marrakech
2022-03-06,14.0,7.6,30.3,Marrakech
2022-03-07,17.6,5.9,0.0,Marrakech
2022-03-08,19.6,6.1,0.0,Marrakech
2022-03-09,22.4,5.5,0.0,Marrakech
2022-03-10,22.0,8.1,0.0,Marrakech
2022-03-11,23.2,5.8,0.0,Marrakech
2022-03-12,21.4,9.3,0.0,Marrakech
2022-03-13,22.1,8.9,0.0,Marrakech
2022-03-14,14.8,7.1,9.0,Marrakech
2022-03-15,17.7,3.3,8.6,Marrakech
2022-03-16,14.8,6.5,4.3,Marrakech
2022-03-17,16.9,9.3,0.5,Marrakech
2022-03-18,20.4,6.8,0.2,Marrakech
2022-03-19,23.5,7.5,0.0,Marrakech
2022-03-20,19.4,10.7,0.0,Marrakech
2022-03-21,20.8,11.2,0.0,Marrakech
2022-03-22,20.1,10.7,0.0,Marrakech
2022-03-23,18.5,8.9,9.6,Marrakech
2022-03-24,17.2,6.3,12.1,Marrakech
2022-03-25,18.0,7.0,3.8,Marrakech
2022-03-26,20.2,6.7,0.1,Marrakech
2022-03-27,25.5,7.4,0.0,Marrakech
2022-03-28,23.1,11.0,0.3,Marrakech
2022-03-29,19.9,11.3,4.8,Marrakech
2022-03-30,17.5,10.6,12.1,Marrakech
